date,value,avg7,avg30
27-May-2015,38,5.428571428571429,1.266666666666667
28-May-2015,4,6.0,1.4
29-May-2015,3,6.428571428571429,1.5
30-May-2015,2,6.714285714285714,1.566666666666667
31-May-2015,19,9.428571428571429,2.2
1-Jun-2015,58,17.71428571428572,4.133333333333334
2-Jun-2015,4,18.28571428571428,4.266666666666667
3-Jun-2015,71,23.0,6.633333333333334
4-Jun-2015,43,28.57142857142857,8.066666666666666
5-Jun-2015,15,30.28571428571428,8.566666666666666
6-Jun-2015,8,31.14285714285714,8.833333333333334
7-Jun-2015,18,31.0,9.433333333333334
8-Jun-2015,17,25.14285714285714,10.0
9-Jun-2015,51,31.85714285714286,11.7
10-Jun-2015,17,24.14285714285714,12.26666666666667
11-Jun-2015,3,18.42857142857143,12.36666666666667
12-Jun-2015,10,17.71428571428572,12.7
13-Jun-2015,24,20.0,13.5
14-Jun-2015,72,27.71428571428572,15.9
15-Jun-2015,8,26.42857142857143,16.16666666666667
16-Jun-2015,25,22.71428571428572,17.0
17-Jun-2015,99,34.42857142857143,20.3
18-Jun-2015,5,34.71428571428572,20.46666666666667
19-Jun-2015,2,33.57142857142857,20.53333333333333
20-Jun-2015,0,30.14285714285714,20.53333333333333
21-Jun-2015,0,19.85714285714286,20.53333333333333
22-Jun-2015,9,20.0,20.83333333333333
23-Jun-2015,3,16.85714285714286,20.93333333333333
24-Jun-2015,14,4.714285714285714,21.4
25-Jun-2015,1,4.142857142857143,21.43333333333333
26-Jun-2015,4,4.428571428571429,20.3
27-Jun-2015,9,5.714285714285714,20.46666666666667
28-Jun-2015,14,7.714285714285714,20.83333333333333
29-Jun-2015,5,7.142857142857143,20.93333333333333
30-Jun-2015,45,13.14285714285714,21.8
1-Jul-2015,28,15.14285714285714,20.8
2-Jul-2015,9,16.28571428571428,20.96666666666667
3-Jul-2015,16,18.0,19.13333333333333
4-Jul-2015,82,28.42857142857143,20.43333333333333
5-Jul-2015,17,28.85714285714286,20.5
6-Jul-2015,3,28.57142857142857,20.33333333333333
7-Jul-2015,23,25.42857142857143,20.5
8-Jul-2015,22,24.57142857142857,20.66666666666667
9-Jul-2015,41,29.14285714285714,20.33333333333333
10-Jul-2015,25,30.42857142857143,20.6
11-Jul-2015,30,23.0,21.5
12-Jul-2015,4,21.14285714285714,21.3
13-Jul-2015,0,20.71428571428572,20.5
14-Jul-2015,15,19.57142857142857,18.6
15-Jul-2015,19,19.14285714285714,18.96666666666667
16-Jul-2015,8,14.42857142857143,18.4
17-Jul-2015,8,12.0,15.36666666666667
18-Jul-2015,3,8.142857142857142,15.3
19-Jul-2015,1,7.714285714285714,15.26666666666667
20-Jul-2015,0,7.714285714285714,15.26666666666667
21-Jul-2015,5,6.285714285714286,15.43333333333333
22-Jul-2015,1,3.714285714285714,15.16666666666667
23-Jul-2015,85,14.71428571428571,17.9
24-Jul-2015,40,19.28571428571428,18.76666666666667
25-Jul-2015,12,20.57142857142857,19.13333333333333
26-Jul-2015,17,22.85714285714286,19.56666666666667
27-Jul-2015,47,29.57142857142857,20.83333333333333
28-Jul-2015,0,28.85714285714286,20.36666666666667
29-Jul-2015,75,39.42857142857143,22.7
30-Jul-2015,44,33.57142857142857,22.66666666666667
31-Jul-2015,65,37.14285714285715,23.9
