date,value,avg7,avg30
25-Dec-2017,174,24.85714285714286,5.8
26-Dec-2017,49,31.85714285714286,7.433333333333334
27-Dec-2017,26,35.57142857142857,8.3
28-Dec-2017,12,37.28571428571428,8.7
29-Dec-2017,115,53.71428571428572,12.53333333333333
30-Dec-2017,3,54.14285714285715,12.63333333333333
31-Dec-2017,15,56.28571428571428,13.13333333333333
1-Jan-2018,13,33.28571428571428,13.56666666666667
2-Jan-2018,0,26.28571428571428,13.56666666666667
3-Jan-2018,0,22.57142857142857,13.56666666666667
4-Jan-2018,6,21.71428571428572,13.76666666666667
5-Jan-2018,64,14.42857142857143,15.9
6-Jan-2018,39,19.57142857142857,17.2
7-Jan-2018,31,21.85714285714286,18.23333333333333
8-Jan-2018,54,27.71428571428572,20.03333333333333
9-Jan-2018,84,39.71428571428572,22.83333333333333
10-Jan-2018,53,47.28571428571428,24.6
11-Jan-2018,215,77.14285714285714,31.76666666666667
12-Jan-2018,258,104.8571428571429,40.36666666666667
13-Jan-2018,100,113.5714285714286,43.7
14-Jan-2018,24,112.5714285714286,44.5
15-Jan-2018,17,107.2857142857143,45.06666666666667
16-Jan-2018,145,116.0,49.9
17-Jan-2018,55,116.2857142857143,51.73333333333333
18-Jan-2018,4,86.14285714285714,51.86666666666667
19-Jan-2018,25,52.85714285714285,52.7
20-Jan-2018,0,38.57142857142857,52.7
21-Jan-2018,0,35.14285714285715,52.7
22-Jan-2018,17,35.14285714285715,53.26666666666667
23-Jan-2018,0,14.42857142857143,53.26666666666667
24-Jan-2018,3,7.0,47.56666666666667
25-Jan-2018,21,9.428571428571429,46.63333333333333
26-Jan-2018,19,8.571428571428571,46.4
27-Jan-2018,10,10.0,46.33333333333334
28-Jan-2018,0,10.0,42.5
29-Jan-2018,2,7.857142857142857,42.46666666666667
30-Jan-2018,10,9.285714285714286,42.3
